COLLEGES,CITY,WEBSITE,COURSE
"Sher Shah College, Sasaram",133 kms from Patna,N/A,B.Sc
"Ram Krishna College - [RKC], Madhubani",142 kms from Patna,N/A,B.Sc
"Maharani Janki Kunwar College - [MJK], Bettiah",148 kms from Patna,N/A,B.Sc
"Bapu Mahavidyalaya, Ghazipur",156 kms from Patna,N/A,B.Sc
"Ramarpit Mahavidyalaya, Ghazipur",156 kms from Patna,N/A,B.Sc
"Chatra College, Chatra",157 kms from Patna,N/A,B.Sc
"Sardar Vallabh Bhai Patel College, Bhabua",166 kms from Patna,N/A,B.Sc
"Swami Devanand PG College, Deoria",169 kms from Patna,N/A,B.Sc
"Bhupendra Narayan Mandal University - [BNMU], Madhepura",170 kms from Patna,N/A,B.Sc
"Thakur Prasad College, Madhepura",170 kms from Patna,N/A,B.Sc
"AISECT University, Hazaribagh",179 kms from Patna,N/A,B.Sc
"Annada College, Hazaribagh",179 kms from Patna,N/A,B.Sc
"KB Women's College, Hazaribagh",179 kms from Patna,N/A,B.Sc
"ST Columba's College, Hazaribagh",179 kms from Patna,N/A,B.Sc
"Markham college of Commerce, Hazaribagh",179 kms from Patna,N/A,B.Sc
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur",187 kms from Patna,N/A,B.Sc
"Bihar Agricultural University - [BAU] Sabour, Bhagalpur",187 kms from Patna,N/A,B.Sc
"Sunderwati Mahila College, Bhagalpur",187 kms from Patna,N/A,B.Sc
"T.N.B. College, Bhagalpur",187 kms from Patna,N/A,B.Sc
"Marwari College, Bhagalpur",187 kms from Patna,N/A,B.Sc
"Sri Krishna Ramruchi College, Bhagalpur",187 kms from Patna,N/A,B.Sc
"Ramchandra Chandravansi University - [RCU], Palamu",189 kms from Patna,N/A,B.Sc
"Nilamber Pitamber University - [NPU], Palamu",189 kms from Patna,N/A,B.Sc
"Ganesh Lal Agrawal College - [GLA], Palamu",189 kms from Patna,N/A,B.Sc
"S.M College, Chandauli",192 kms from Patna,N/A,B.Sc
"Indian Statistical Institute, Giridih",195 kms from Patna,N/A,B.Sc
"A S College, Deoghar",200 kms from Patna,N/A,B.Sc
"Durga Soren University, Deoghar",200 kms from Patna,N/A,B.Sc
"Chanakya National Law University - [CNLU], Patna","Patna, Bihar",N/A,BA/BBA LLB
"Patna University - [PU], Patna","Patna, Bihar",N/A,LLM
"Bihar Institute of law - [BIL], Patna","Patna, Bihar",N/A,BA/BBA LLB
"Amity University, Patna","Patna, Bihar",N/A,LLB
"Ambedkar Law College, Patna","Patna, Bihar",N/A,LLB
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,Graduate Diploma in Law
"College of Commerce, Arts & Science, Patna","Patna, Bihar",N/A,PG Diploma in Law
"Patliputra University, Patna","Patna, Bihar",N/A,LLM
"Patna Law College, Patna","Patna, Bihar",N/A,LLB
"Impact Law College, Patna","Patna, Bihar",N/A,LLB
"Jai Prakash University, Chapra",44 kms from Patna,N/A,LLB
"GDM College, Harnaut",47 kms from Patna,N/A,Graduate Certificate in Law
"H.D. Jain College, Arrah",47 kms from Patna,N/A,Graduate Certificate in Law
"K.K. University, Nalanda",50 kms from Patna,N/A,LLB
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur",64 kms from Patna,N/A,LLB
"S.K.J. Law College, Muzaffarpur",64 kms from Patna,N/A,BA/BBA LLB
"Magadh University - [MU], Gaya",90 kms from Patna,N/A,LLB
"Central University of South Bihar - [CUSB], Gaya",90 kms from Patna,N/A,BA/BBA LLB
"Hari Shanker Prasad Law College, Ballia",101 kms from Patna,N/A,LLB
"Sri Narheji Law College, Ballia",101 kms from Patna,N/A,LLB
"Jananayak Chandrashekhar University - [JNCU], Ballia",101 kms from Patna,N/A,LLB
"Nawada Vidhi Mahavidyalaya, Nawada",102 kms from Patna,N/A,BA/BBA LLB
"M.V. College, Buxar",116 kms from Patna,N/A,PG Diploma in Law
"Munshi Singh College, Motihari",119 kms from Patna,N/A,LLB
"Jharkhand Vidhi Mahavidyalaya - [JVM], Kodarma",133 kms from Patna,N/A,LLB
"Gopal Narayan Singh University - [GNSU], Sasaram",133 kms from Patna,N/A,BA/BBA LLB
"Munger University - [MU], Munger",136 kms from Patna,N/A,LLB
"Sarvodaya College of Technology and Management - [SCOTM], Deoria",169 kms from Patna,N/A,LLM
"Vinoba Bhave University - [VBU], Hazaribagh",179 kms from Patna,N/A,LLM
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur",187 kms from Patna,N/A,BA/BBA LLB
"T.N.B. Law College, Bhagalpur",187 kms from Patna,N/A,LLB
"Vinoba Bhave University - [VBU], Hazaribagh",179 kms from Patna,N/A,LLM
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur",187 kms from Patna,N/A,BA/BBA LLB
"T.N.B. Law College, Bhagalpur",187 kms from Patna,N/A,LLB
"Magadh Mahila College, Patna","Patna, Bihar",N/A,BA
"Anugrah Narayan College - [ANC], Patna","Patna, Bihar",N/A,BA
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,BA
"Ram Krishna Dwarika College - [RKD], Patna","Patna, Bihar",N/A,BA
"Ram Lakhan Singh Yadav College - [RLSY], Patna","Patna, Bihar",N/A,BA
"College of Commerce, Arts & Science, Patna","Patna, Bihar",N/A,BA
"Patna University - [PU], Patna","Patna, Bihar",N/A,BA
"Patna College, Patna","Patna, Bihar",N/A,BA
"Bihar National College, Patna","Patna, Bihar",N/A,BA
"MGM Group of Institutions, Patna","Patna, Bihar",N/A,BA
"R.P. Sharma Institute of Technology, Patna","Patna, Bihar",N/A,BA
"Maltidhari College, Patna","Patna, Bihar",N/A,BA
"Amity University, Patna","Patna, Bihar",N/A,BA
"Patliputra University, Patna","Patna, Bihar",N/A,BA
"Anugrah Narayan Singh College - [ANS] Barh, Patna","Patna, Bihar",N/A,BA
"Bhuwaneshwari Dayal College - [BDC] Mithapur, Patna","Patna, Bihar",N/A,BA
"Bindeshwar Singh College, Patna","Patna, Bihar",N/A,BA
"Jagat Narain Lal College - [JNL], Patna","Patna, Bihar",N/A,BA
"Sri Arvind Mahila College, Patna","Patna, Bihar",N/A,BA
"Sri Guru Gobind Singh College, Patna","Patna, Bihar",N/A,BA
"Patna Science College, Patna","Patna, Bihar",N/A,BA
"Thakur Prasad Singh College - [TPS], Patna","Patna, Bihar",N/A,BA
"Indian Institute of Business Management - [IIBM], Patna","Patna, Bihar",N/A,BA
"JD Women's College, Patna","Patna, Bihar",N/A,BA
"Maulana Mazharul Haque Arabic and Persian University - [MMHAPU], Patna","Patna, Bihar",N/A,BA
"Ganga Devi Mahila Mahavidyalaya - [GDMM] Kankarbagh, Patna","Patna, Bihar",N/A,BA
"G.J. College, Patna","Patna, Bihar",N/A,BA
"Mahila College Khagaul, Patna","Patna, Bihar",N/A,BA
"Directorate of Distance Education, Patna University, Patna","Patna, Bihar",N/A,BA
"Oriental College, Patna","Patna, Bihar",N/A,BA
"Jai Prakash Mahila College, Chapra","Chapra, Bihar",N/A,BA
